,NC_001802.1,PX487672.1,PX487673.1,PX487674.1,PX487675.1,PX487676.1,PX487677.1,PX487678.1,PX487679.1,PX487680.1
NC_001802.1,100.00,88.96,88.95,88.95,88.95,88.96,88.96,88.96,88.94,88.95
PX487672.1,88.96,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00
PX487673.1,88.95,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00
PX487674.1,88.95,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00
PX487675.1,88.95,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00
PX487676.1,88.96,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00
PX487677.1,88.96,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00
PX487678.1,88.96,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00
PX487679.1,88.94,99.99,99.99,99.99,99.99,99.99,99.99,99.99,100.00,99.99
PX487680.1,88.95,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00
