lane	fragment_index	length_bp
GCA_038667355.1_ASM3866735v1_genomic	1	54
GCA_038667355.1_ASM3866735v1_genomic	2	220
GCA_038667355.1_ASM3866735v1_genomic	3	304
GCA_038667355.1_ASM3866735v1_genomic	4	411
GCA_038667355.1_ASM3866735v1_genomic	5	571
GCA_038667355.1_ASM3866735v1_genomic	6	600
GCA_038667355.1_ASM3866735v1_genomic	7	838
GCA_038667355.1_ASM3866735v1_genomic	8	946
GCA_038667355.1_ASM3866735v1_genomic	9	1008
GCA_038667355.1_ASM3866735v1_genomic	10	1038
GCA_038667355.1_ASM3866735v1_genomic	11	1159
GCA_038667355.1_ASM3866735v1_genomic	12	1174
GCA_038667355.1_ASM3866735v1_genomic	13	1281
GCA_038667355.1_ASM3866735v1_genomic	14	1460
GCA_038667355.1_ASM3866735v1_genomic	15	1702
GCA_038731205.1_ASM3873120v1_genomic	1	381
GCA_038731205.1_ASM3873120v1_genomic	2	446
GCA_038731205.1_ASM3873120v1_genomic	3	468
GCA_038731205.1_ASM3873120v1_genomic	4	600
GCA_038731205.1_ASM3873120v1_genomic	5	838
GCA_038731205.1_ASM3873120v1_genomic	6	846
GCA_038731205.1_ASM3873120v1_genomic	7	955
GCA_038731205.1_ASM3873120v1_genomic	8	1011
GCA_038731205.1_ASM3873120v1_genomic	9	1111
GCA_038731205.1_ASM3873120v1_genomic	10	1224
GCA_038731205.1_ASM3873120v1_genomic	11	1240
GCA_038731205.1_ASM3873120v1_genomic	12	1411
GCA_038731205.1_ASM3873120v1_genomic	13	1495
GCA_038731205.1_ASM3873120v1_genomic	14	1497
GCA_038978125.1_ASM3897812v1_genomic	1	43
GCA_038978125.1_ASM3897812v1_genomic	2	263
GCA_038978125.1_ASM3897812v1_genomic	3	360
GCA_038978125.1_ASM3897812v1_genomic	4	384
GCA_038978125.1_ASM3897812v1_genomic	5	571
GCA_038978125.1_ASM3897812v1_genomic	6	923
GCA_038978125.1_ASM3897812v1_genomic	7	1050
GCA_038978125.1_ASM3897812v1_genomic	8	1159
GCA_038978125.1_ASM3897812v1_genomic	9	1159
GCA_038978125.1_ASM3897812v1_genomic	10	1174
GCA_038978125.1_ASM3897812v1_genomic	11	1490
GCA_038978125.1_ASM3897812v1_genomic	12	1601
GCA_038978125.1_ASM3897812v1_genomic	13	1810
GCA_038978125.1_ASM3897812v1_genomic	14	1891
GCA_039115125.1_ASM3911512v1_genomic	1	8
GCA_039115125.1_ASM3911512v1_genomic	2	56
GCA_039115125.1_ASM3911512v1_genomic	3	275
GCA_039115125.1_ASM3911512v1_genomic	4	324
GCA_039115125.1_ASM3911512v1_genomic	5	393
GCA_039115125.1_ASM3911512v1_genomic	6	571
GCA_039115125.1_ASM3911512v1_genomic	7	600
GCA_039115125.1_ASM3911512v1_genomic	8	890
GCA_039115125.1_ASM3911512v1_genomic	9	1027
GCA_039115125.1_ASM3911512v1_genomic	10	1111
GCA_039115125.1_ASM3911512v1_genomic	11	1159
GCA_039115125.1_ASM3911512v1_genomic	12	1174
GCA_039115125.1_ASM3911512v1_genomic	13	1252
GCA_039115125.1_ASM3911512v1_genomic	14	1458
GCA_039115125.1_ASM3911512v1_genomic	15	1565
GCA_039115125.1_ASM3911512v1_genomic	16	1777
GCA_039182775.1_ASM3918277v1_genomic	1	395
GCA_039182775.1_ASM3918277v1_genomic	2	418
GCA_039182775.1_ASM3918277v1_genomic	3	533
GCA_039182775.1_ASM3918277v1_genomic	4	600
GCA_039182775.1_ASM3918277v1_genomic	5	857
GCA_039182775.1_ASM3918277v1_genomic	6	880
GCA_039182775.1_ASM3918277v1_genomic	7	892
GCA_039182775.1_ASM3918277v1_genomic	8	1058
GCA_039182775.1_ASM3918277v1_genomic	9	1252
GCA_039182775.1_ASM3918277v1_genomic	10	1471
GCA_039182775.1_ASM3918277v1_genomic	11	1495
GCA_039182775.1_ASM3918277v1_genomic	12	1616
GCA_039182775.1_ASM3918277v1_genomic	13	2341
GCA_039190305.1_ASM3919030v1_genomic	1	56
GCA_039190305.1_ASM3919030v1_genomic	2	305
