seq1,seq2,len1,len2,alignment_len,matches_no_gaps,compared_no_gaps,identity_no_gaps_pct,score
NC_001802.1,PX487672.1,9181,8947,9384,7779,8744,88.9639,6174
NC_001802.1,PX487673.1,9181,8934,9384,7766,8731,88.9474,6148
NC_001802.1,PX487674.1,9181,8934,9384,7766,8731,88.9474,6148
NC_001802.1,PX487675.1,9181,8934,9384,7766,8731,88.9474,6148
NC_001802.1,PX487676.1,9181,8941,9384,7773,8738,88.9563,6162
NC_001802.1,PX487677.1,9181,8941,9384,7773,8738,88.9563,6162
NC_001802.1,PX487678.1,9181,8945,9384,7777,8742,88.9613,6170
NC_001802.1,PX487679.1,9181,8934,9384,7765,8731,88.9360,6146
NC_001802.1,PX487680.1,9181,8934,9384,7766,8731,88.9474,6148
PX487672.1,PX487673.1,8947,8934,8947,8934,8934,100.0000,8921
PX487672.1,PX487674.1,8947,8934,8947,8934,8934,100.0000,8921
PX487672.1,PX487675.1,8947,8934,8947,8934,8934,100.0000,8921
PX487672.1,PX487676.1,8947,8941,8947,8941,8941,100.0000,8935
PX487672.1,PX487677.1,8947,8941,8947,8941,8941,100.0000,8935
PX487672.1,PX487678.1,8947,8945,8951,8941,8941,100.0000,8931
PX487672.1,PX487679.1,8947,8934,8947,8933,8934,99.9888,8919
PX487672.1,PX487680.1,8947,8934,8947,8934,8934,100.0000,8921
PX487673.1,PX487674.1,8934,8934,8934,8934,8934,100.0000,8934
PX487673.1,PX487675.1,8934,8934,8934,8934,8934,100.0000,8934
PX487673.1,PX487676.1,8934,8941,8941,8934,8934,100.0000,8927
PX487673.1,PX487677.1,8934,8941,8941,8934,8934,100.0000,8927
PX487673.1,PX487678.1,8934,8945,8945,8934,8934,100.0000,8923
PX487673.1,PX487679.1,8934,8934,8934,8933,8934,99.9888,8932
PX487673.1,PX487680.1,8934,8934,8934,8934,8934,100.0000,8934
PX487674.1,PX487675.1,8934,8934,8934,8934,8934,100.0000,8934
PX487674.1,PX487676.1,8934,8941,8941,8934,8934,100.0000,8927
PX487674.1,PX487677.1,8934,8941,8941,8934,8934,100.0000,8927
PX487674.1,PX487678.1,8934,8945,8945,8934,8934,100.0000,8923
PX487674.1,PX487679.1,8934,8934,8934,8933,8934,99.9888,8932
PX487674.1,PX487680.1,8934,8934,8934,8934,8934,100.0000,8934
PX487675.1,PX487676.1,8934,8941,8941,8934,8934,100.0000,8927
PX487675.1,PX487677.1,8934,8941,8941,8934,8934,100.0000,8927
PX487675.1,PX487678.1,8934,8945,8945,8934,8934,100.0000,8923
PX487675.1,PX487679.1,8934,8934,8934,8933,8934,99.9888,8932
PX487675.1,PX487680.1,8934,8934,8934,8934,8934,100.0000,8934
PX487676.1,PX487677.1,8941,8941,8941,8941,8941,100.0000,8941
PX487676.1,PX487678.1,8941,8945,8945,8941,8941,100.0000,8937
PX487676.1,PX487679.1,8941,8934,8941,8933,8934,99.9888,8925
PX487676.1,PX487680.1,8941,8934,8941,8934,8934,100.0000,8927
PX487677.1,PX487678.1,8941,8945,8945,8941,8941,100.0000,8937
PX487677.1,PX487679.1,8941,8934,8941,8933,8934,99.9888,8925
PX487677.1,PX487680.1,8941,8934,8941,8934,8934,100.0000,8927
PX487678.1,PX487679.1,8945,8934,8945,8933,8934,99.9888,8921
PX487678.1,PX487680.1,8945,8934,8945,8934,8934,100.0000,8923
PX487679.1,PX487680.1,8934,8934,8934,8933,8934,99.9888,8932
