#  | seq1        | seq2       | similarity_% | nw_score | aln_len
-------------------------------------------------------------------
1  | NC_001802.1 | PX487672.1 | 88.96        | 6174     | 9384   
2  | NC_001802.1 | PX487673.1 | 88.95        | 6148     | 9384   
3  | NC_001802.1 | PX487674.1 | 88.95        | 6148     | 9384   
4  | NC_001802.1 | PX487675.1 | 88.95        | 6148     | 9384   
5  | NC_001802.1 | PX487676.1 | 88.96        | 6162     | 9384   
6  | NC_001802.1 | PX487677.1 | 88.96        | 6162     | 9384   
7  | NC_001802.1 | PX487678.1 | 88.96        | 6170     | 9384   
8  | NC_001802.1 | PX487679.1 | 88.94        | 6146     | 9384   
9  | NC_001802.1 | PX487680.1 | 88.95        | 6148     | 9384   
10 | PX487672.1  | PX487673.1 | 100.00       | 8921     | 8947   
11 | PX487672.1  | PX487674.1 | 100.00       | 8921     | 8947   
12 | PX487672.1  | PX487675.1 | 100.00       | 8921     | 8947   
13 | PX487672.1  | PX487676.1 | 100.00       | 8935     | 8947   
14 | PX487672.1  | PX487677.1 | 100.00       | 8935     | 8947   
15 | PX487672.1  | PX487678.1 | 100.00       | 8931     | 8951   
16 | PX487672.1  | PX487679.1 | 99.99        | 8919     | 8947   
17 | PX487672.1  | PX487680.1 | 100.00       | 8921     | 8947   
18 | PX487673.1  | PX487674.1 | 100.00       | 8934     | 8934   
19 | PX487673.1  | PX487675.1 | 100.00       | 8934     | 8934   
20 | PX487673.1  | PX487676.1 | 100.00       | 8927     | 8941   
21 | PX487673.1  | PX487677.1 | 100.00       | 8927     | 8941   
22 | PX487673.1  | PX487678.1 | 100.00       | 8923     | 8945   
23 | PX487673.1  | PX487679.1 | 99.99        | 8932     | 8934   
24 | PX487673.1  | PX487680.1 | 100.00       | 8934     | 8934   
25 | PX487674.1  | PX487675.1 | 100.00       | 8934     | 8934   
26 | PX487674.1  | PX487676.1 | 100.00       | 8927     | 8941   
27 | PX487674.1  | PX487677.1 | 100.00       | 8927     | 8941   
28 | PX487674.1  | PX487678.1 | 100.00       | 8923     | 8945   
29 | PX487674.1  | PX487679.1 | 99.99        | 8932     | 8934   
30 | PX487674.1  | PX487680.1 | 100.00       | 8934     | 8934   
31 | PX487675.1  | PX487676.1 | 100.00       | 8927     | 8941   
32 | PX487675.1  | PX487677.1 | 100.00       | 8927     | 8941   
33 | PX487675.1  | PX487678.1 | 100.00       | 8923     | 8945   
34 | PX487675.1  | PX487679.1 | 99.99        | 8932     | 8934   
35 | PX487675.1  | PX487680.1 | 100.00       | 8934     | 8934   
36 | PX487676.1  | PX487677.1 | 100.00       | 8941     | 8941   
37 | PX487676.1  | PX487678.1 | 100.00       | 8937     | 8945   
38 | PX487676.1  | PX487679.1 | 99.99        | 8925     | 8941   
39 | PX487676.1  | PX487680.1 | 100.00       | 8927     | 8941   
40 | PX487677.1  | PX487678.1 | 100.00       | 8937     | 8945   
41 | PX487677.1  | PX487679.1 | 99.99        | 8925     | 8941   
42 | PX487677.1  | PX487680.1 | 100.00       | 8927     | 8941   
43 | PX487678.1  | PX487679.1 | 99.99        | 8921     | 8945   
44 | PX487678.1  | PX487680.1 | 100.00       | 8923     | 8945   
45 | PX487679.1  | PX487680.1 | 99.99        | 8932     | 8934   
