,NC_001802.1,PX487672.1,PX487673.1,PX487674.1,PX487675.1,PX487676.1,PX487677.1,PX487678.1,PX487679.1,PX487680.1
NC_001802.1,0,6174,6148,6148,6148,6162,6162,6170,6146,6148
PX487672.1,6174,0,8921,8921,8921,8935,8935,8931,8919,8921
PX487673.1,6148,8921,0,8934,8934,8927,8927,8923,8932,8934
PX487674.1,6148,8921,8934,0,8934,8927,8927,8923,8932,8934
PX487675.1,6148,8921,8934,8934,0,8927,8927,8923,8932,8934
PX487676.1,6162,8935,8927,8927,8927,0,8941,8937,8925,8927
PX487677.1,6162,8935,8927,8927,8927,8941,0,8937,8925,8927
PX487678.1,6170,8931,8923,8923,8923,8937,8937,0,8921,8923
PX487679.1,6146,8919,8932,8932,8932,8925,8925,8921,0,8932
PX487680.1,6148,8921,8934,8934,8934,8927,8927,8923,8932,0
